FID,FID_,address,adname,adcode,pname,cityname,name,long,lat,_id,type,data_proce
108,3701,富强路与老街交叉口西北50米,大兴区,110115,北京市,北京市,周黑鸭(富强路),116.34189,39.737799,a#20170618#821bec8296d3cf735622b70744c9a934,餐饮服务;餐饮相关场所;餐饮相关, 
109,3707,西罗园,丰台区,110106,北京市,北京市,德州扒鸡(洋桥分店),116.383722,39.860778,9#20170616#4f5bab382a484751781fbbfe751a4d16,餐饮服务;餐饮相关场所;餐饮相关, 
110,3738,六里桥莲怡园东路风荷曲苑小区4号,丰台区,110106,北京市,北京市,邢氏海参馆(北京六里桥店),116.30238,39.88394,l#20170618#afbad1673ecfb12e4073c224870754f0,餐饮服务;餐饮相关场所;餐饮相关, 
111,3779,东花市街道广渠门内东花市南里市场华联超市内,东城区,110101,北京市,北京市,稻香村专柜,116.438416,39.894011,k#20170617#cb049cddae230dcb91c853c79c6502cd,餐饮服务;餐饮相关场所;餐饮相关, 
112,3815,花乡南四环西路188号总部基地17区,丰台区,110106,北京市,北京市,大咖美食城,116.29186,39.823887,9#20170618#52f84aa6fb8d3ffbb6a114648e1049ad,餐饮服务;餐饮相关场所;餐饮相关, 
113,3821,南半壁店小区路134号附近,顺义区,110113,北京市,北京市,商店批发雪糕冷饮,116.628803,40.02708,n#20170618#90bfc19b97d80ec61b792279ad0361e0,餐饮服务;餐饮相关场所;餐饮相关, 
114,3831,北洼路1区10号平房,海淀区,110108,北京市,北京市,三千尚品包子(紫竹院路),116.30517,39.944377,o#20170618#cb5b44540c9f3ab7eff5f1986aa0ed90,餐饮服务;餐饮相关场所;餐饮相关, 
115,3836,顺市街与鼓楼西街交叉口北50米,昌平区,110114,北京市,北京市,久久鸭(牛犄角胡同),116.231528,40.224625,9#20170618#c24129e37942376fd71df581fdb66d20,餐饮服务;餐饮相关场所;餐饮相关, 
116,3853,燕山迎风四里34号楼边,房山区,110111,北京市,北京市,周家菜馆,115.960607,39.723803,t#20170618#4936198da73eb27f0bf675a855bb9994,餐饮服务;餐饮相关场所;餐饮相关, 
117,3884,西红门镇金星庄黄亦路红绿灯东行200米路北，近九天夜舞东行5米,大兴区,110115,北京市,北京市,海鲜烧烤第六烤场(金华园店),116.385282,39.764635,9#20170618#0d886016cd1e63913aa69d642f0d0c72,餐饮服务;餐饮相关场所;餐饮相关, 
118,3890,西红门黄亦路双程苑宾馆旁,大兴区,110115,北京市,北京市,精武鸭颈,116.378903,39.764254,0#20170618#cab2eb0abe9c1806e5b1b89f75e5050e,餐饮服务;餐饮相关场所;餐饮相关, 
119,3941,琉璃井路7号,东城区,110101,北京市,北京市,招牌卤肉,116.410121,39.866487,8#20170617#47efcaf1a79e04ce2fa1ca13a7c271a1,餐饮服务;餐饮相关场所;餐饮相关, 
120,4009,四惠东地铁站康家沟路145号,朝阳区,110105,北京市,北京市,烤蹄大侠,116.517263,39.909277,x#20170617#671fd1c6971438f78d71c47fe65a14bf,餐饮服务;餐饮相关场所;餐饮相关, 
121,4057,西花市大街118号旁(地铁5号线C出口旁),东城区,110101,北京市,北京市,京八珍(西花市店),116.421459,39.897057,y#20170617#ff86b1b9b072bc559e7704a88fc855db,餐饮服务;餐饮相关场所;餐饮相关, 
122,4152,知春路49号希格玛公寓东门近翠宫饭店,海淀区,110108,北京市,北京市,哈哈镜鸭脖子(希格玛店),116.336874,39.977195,0#20170618#2605bc996dfb81e0d71afd7ecae8d3e2,餐饮服务;餐饮相关场所;餐饮相关, 
123,4203,永顺镇物资学院路55号,通州区,110112,北京市,北京市,牛魔王,116.639461,39.923146,4#20170618#45f5dc5fdc6a3ddc82ee1447a40dc49c,餐饮服务;餐饮相关场所;餐饮相关, 
124,4364,宏业路258号附近,大兴区,110115,北京市,北京市,山东呛面馒头(宏业路),116.3322,39.784615,h#20170618#5288350b2fae4c38079b8f70cc5fe9ec,餐饮服务;餐饮相关场所;餐饮相关, 
125,4410,周口店路与长周路交叉口东北100米,丰台区,110106,北京市,北京市,同顺源老北京烧饼,116.208503,39.815863,b#20170618#aab9a9d014c862662b13bf4d03a7d663,餐饮服务;餐饮相关场所;餐饮相关, 
126,4433,良乡昊天大街邮政局对面26,房山区,110111,北京市,北京市,蒸香包(昊天大街店),116.150127,39.739714,d#20170621#de882aa729e588574f98ba5dcbc58dae,餐饮服务;餐饮相关场所;餐饮相关, 
127,4439,北清路北50米,昌平区,110114,北京市,北京市,山西主食厨房(北清路),116.415653,40.104604,1#20170618#19434c9058401c6c955f238d304aff9c,餐饮服务;餐饮相关场所;餐饮相关, 
128,4477,大鹁鸽胡同与灯市口北巷交叉口东北50米,东城区,110101,北京市,北京市,一品正港年糕炸鸡汉堡(王府井店),116.41356,39.920556,j#20170617#d61df39f00481a693b3a7cf6f8a63015,餐饮服务;餐饮相关场所;餐饮相关, 
129,4512,长阳镇天泰新景温泉家园18号楼1至2层01,房山区,110111,北京市,北京市,华冠(100店),116.220817,39.775247,7#20170618#08f446664a5f3ccea56ef23e978b63c6,餐饮服务;餐饮相关场所;餐饮相关, 
130,4536,房易路附近,房山区,110111,北京市,北京市,三旦水产熟食,115.896989,39.57185,j#20170618#319ca440eb9a0feb9aee6504d685065c,餐饮服务;餐饮相关场所;餐饮相关, 
131,4544,古北口镇司马台新村沙岭25-2号,密云区,110118,北京市,北京市,洋洋得意餐饮,117.245382,40.656617,z#20170618#81e6c7381df18712ff2fed482d835c22,餐饮服务;餐饮相关场所;餐饮相关, 
132,4611,长楹天街商业街西区C318,朝阳区,110105,北京市,北京市,kao!烤肉饭(天街店),116.595999,39.924244,b#20170617#69f6f5e7e72e8903460c73b520b9b03f,餐饮服务;餐饮相关场所;餐饮相关, 
133,4619,青春路一院十号楼九门市,怀柔区,110116,北京市,北京市,一期一会,116.632721,40.313546,8#20170621#c748bc7f537aba12ecf2d5f5217fdbec,餐饮服务;餐饮相关场所;餐饮相关, 
134,4640,新街口北大街与板桥三条交叉口东南50米,西城区,110102,北京市,北京市,味佳盐酥鸡大鸡排,116.372353,39.947014,0#20170617#86cd666c675a0da1a4e838243c621f52,餐饮服务;餐饮相关场所;餐饮相关, 
135,4679,王府井大街301-1号京新旅大厦底商(深海800米海鲜自助),东城区,110101,北京市,北京市,友情进口葡萄酒直售,116.4104,39.90986,5#20170620#c07186de33352a95380deea166dbebd0,餐饮服务;餐饮相关场所;餐饮相关, 
